passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,wyId,foot,shortName,currentNationalTeamId
Italy,75,Simone,,Scuffet,3163,1996-05-31,187,Goalkeeper,Italy,239288,right,S. Scuffet,3763
Italy,78,Elio,,Capradossi,3158,1996-03-11,185,Defender,Uganda,239290,right,E. Capradossi,3763
Italy,63,Jos\u00e9,,Mauri,3157,1996-05-16,169,Midfielder,Argentina,239294,right,J. Mauri,null
Italy,70,Vittorio,,Parigini,3219,1996-03-25,180,Forward,Italy,239295,right,V. Parigini,3763
Italy,77,Federico,,Bonazzoli,3204,1997-05-21,182,Forward,Italy,239298,left,F. Bonazzoli,3764
Sweden,89,Pontus,,Jansson,1630,1991-02-13,196,Defender,Sweden,50806,right,P. Jansson,7047
Guinea,72,Pa Momodou,,Konate,3204,1994-04-25,178,Defender,Sweden,50807,left,P. Konate,null
Italy,81,Facundo Juli\u00e1n,,P\u00edriz Gonz\u00e1lez,3787,1990-03-27,187,Midfielder,Uruguay,116345,right,F. P\u00edriz,null
Germany,85,Florian,,M\u00fcller,2460,1997-11-13,192,Goalkeeper,Germany,337647,left,F. M\u00fcller,null
Germany,78,Ohis Felix,,Uduokhai,2451,1997-09-09,192,Defender,Germany,337682,right,F. Uduokhai,null
Tunisia,82,Syam,,Ben Youssef,4551,1989-03-31,186,Defender,France,10014,right,S. Ben Youssef,16276
Germany,83,Cedric,,Teuchert,2449,1997-01-14,183,Forward,Germany,337732,right,C. Teuchert,3155
Nigeria,76,Victor James,,Osimhen,2451,1998-12-29,185,Forward,Nigeria,403273,right,V. Osimhen,null
Tunisia,70,Mohamed,,Dr\u00e4ger,2453,1996-06-25,178,Midfielder,Germany,272234,right,M. Dr\u00e4ger,16279
C\u00f4te d'Ivoire,71,Jean Eud\u00e8s,,Aholou,3779,1994-03-20,186,Midfielder,C\u00f4te d'Ivoire,141172,left,J. Aholou,null
Germany,0,Justin,,Hoffmanns,2454,1997-02-26,176,Defender,Germany,337781,right,J. Hoffmanns,null
Libya,73,Ahmed,,Benali,3197,1992-02-07,173,Midfielder,England,10113,right,A. Benali,null
England,77,Jordan,,Pickford,1623,1994-03-07,185,Goalkeeper,England,10131,left,J. Pickford,2413
Italy,65,Gianluca,,Gaudino,3165,1996-11-11,175,Midfielder,Germany,272280,right,G. Gaudino,null
Germany,73,Lukas,,Kl\u00fcnter,2463,1996-05-26,184,Defender,Germany,272338,right,L. Kl\u00fcnter,null
Germany,69,Maximilian,,Mittelst\u00e4dt,2457,1997-03-18,178,Defender,Germany,337890,left,M. Mittelst\u00e4dt,null
Germany,69,Mahmoud,,Dahoud,2447,1996-01-01,177,Midfielder,Syria,272363,right,M. Dahoud,3155
Germany,75,Elvis,,Rexhbecaj,2451,1997-11-01,182,Midfielder,Albania,337903,left,E. Rexhbecaj,null
Germany,84,Dominik,,Reimann,2447,1997-06-18,186,Goalkeeper,Germany,272373,right,D. Reimann,null
Italy,82,Mauro Daniel,,Goicoechea Furia,3780,1988-03-27,186,Goalkeeper,Uruguay,116393,right,M. Goicoechea,null
Brazil,71,Rog\u00e9rio,,Oliveira da Silva,3315,1998-01-13,178,Defender,Brazil,403449,left,Rog\u00e9rio,null
France,71,Val\u00e8re,,Pollet,3776,1997-06-27,177,Midfielder,France,436250,,V. Pollet,null
Germany,74,Marco,,Richter,2481,1997-11-24,176,Forward,Germany,337960,right,M. Richter,3156
Portugal,82,Gabriel,,Appelt Pires,712,1993-09-18,187,Midfielder,Brazil,43051,left,Gabriel,null
Germany,75,Waldemar,,Anton,2455,1996-07-20,189,Defender,Uzbekistan,272434,right,W. Anton,3155
Germany,82,Timo,,H\u00fcbers,2455,1996-07-20,190,Defender,Germany,272435,right,T. H\u00fcbers,null
Nigeria,70,Noah-Joel,,Sarenren-Bazee,2455,1996-08-21,182,Midfielder,Germany,272436,right,N. Sarenren-Bazee,null
Germany,75,Maximilian,,Eggestein,2443,1996-12-08,181,Midfielder,Germany,272440,right,M. Eggestein,3155
Korea Republic,63,Seung-Woo,,Lee,3194,1998-01-06,173,Forward,Korea Republic,403546,right,Lee Seung-Woo,14855
Iceland,88,\u00d6gmundur,,Kristinsson,26,1989-06-19,191,Goalkeeper,Iceland,206994,right,\u00d6. Kristinsson,null
Italy,77,Carlos Joaqu\u00edn,,Correa,680,1994-08-13,188,Midfielder,Argentina,207001,right,J. Correa,null
Brazil,73,Wergiton,,do Ros\u00e1rio Calmon,3780,1988-09-28,180,Midfielder,Brazil,43196,right,Som\u00e1lia,null
Morocco,71,Zakaria,,Bakkali,677,1996-01-26,168,Forward,Belgium,239843,right,Z. Bakkali,null
Ghana,67,Emmanuel Okyere,,Boateng,695,1996-05-23,175,Forward,Ghana,338201,right,E. Boateng,null
Brazil,78,F\u00e1bio Henrique,,Tavares,19830,1993-10-23,188,Midfielder,Brazil,207143,right,Fabinho,null
Senegal,76,Papa Alioune,,N'Diaye,1639,1990-10-27,180,Midfielder,Senegal,207164,right,B. N'Diaye,19314
Portugal,78,Gil,,Basti\u00e3o Dias,3176,1996-09-28,183,Forward,Portugal,338249,left,Gil Dias,9910
Portugal,74,Allan,,Marques Loureiro,3187,1991-01-08,175,Midfielder,Brazil,40726,right,Allan,null
Poland,77,Jan,,Bednarek,1619,1996-04-12,189,Defender,Poland,240032,right,J. Bednarek,13869
Poland,75,Dawid,,Kownacki,3164,1997-03-14,187,Forward,Poland,240042,right,D. Kownacki,13869
Peru,72,Wilder Jos\u00e9,,Cartagena Mendoza,15416,1994-09-23,179,Midfielder,Peru,139080,right,W. Cartagena,15594
Italy,72,Andrea,,Nalini,3197,1990-06-20,180,Forward,Italy,272878,right,A. Nalini,null
Brazil,77,Andrei,,Girotto,3770,1992-02-17,186,Midfielder,Brazil,43515,right,Andrei Girotto,null
Korea DPR,70,Kwang-Song,,Han,3173,1998-09-11,178,Forward,Korea DPR,404209,right,Han Kwang-Song,19571
France,82,Alban,,Lafont,3780,1999-01-23,193,Goalkeeper,Burkina Faso,404213,right,A. Lafont,4423
France,82,Ga\u00ebtan,,Poussin,3772,1999-01-13,184,Goalkeeper,France,404214,right,G. Poussin,null
France,77,Boubacar,,Kamara,3771,1999-11-23,184,Defender,France,404216,right,B. Kamara,4423
France,73,Micka\u00ebl,,Cuisance,2454,1999-08-16,181,Midfielder,France,404219,left,M. Cuisance,4423
Comoros,70,Myziane,,Maolida,3766,1999-02-14,180,Forward,France,404226,right,M. Maolida,4423
France,0,Ervin,,Taha,3772,1999-03-14,180,Forward,France,404227,right,E. Taha,null
France,77,Hicham,,Mahou,3775,1999-07-02,180,Midfielder,France,437011,right,H. Mahou,null
Spain,70,Jes\u00fas Joaqu\u00edn,,Fern\u00e1ndez S\u00e1ez de la Torre,3157,1993-11-19,176,Forward,Spain,11063,left,Suso,null
England,69,Raheem Shaquille,,Sterling,1625,1994-12-08,170,Forward,Jamaica,11066,right,R. Sterling,2413
Brazil,72,Andreas,,Hoelgebaum Pereira,674,1996-01-01,178,Midfielder,Belgium,240445,right,Andreas Pereira,null
Nigeria,82,William,,Troost-Ekong,3163,1993-09-01,191,Defender,Netherlands,11093,right,W. Troost-Ekong,16823
Serbia,77,Milos,,Veljkovic,2443,1995-09-26,184,Defender,Switzerland,11095,right,M. Veljkovic,17322
Senegal,71,Pape Sane,,Mbodji,698,1997-09-20,183,Midfielder,Senegal,404333,,P. Mbodji,null
Mali,88,Moussa Sidi Yaya,,Demb\u00e9l\u00e9,1624,1987-07-16,185,Midfielder,Belgium,11152,left,M. Demb\u00e9l\u00e9,5629
Costa Rica,82,Bryan,,Ruiz Gonz\u00e1lez,5655,1985-08-18,188,Midfielder,Costa Rica,11155,left,B. Ruiz,16871
Italy,85,Marcello,,Trotta,3197,1992-09-29,188,Forward,Italy,11156,left,M. Trotta,null
Spain,74,V\u00edctor,,Moya Mart\u00ednez,682,1997-06-10,182,Midfielder,Spain,400558,right,Chuca,null
Russia,75,Yuri,,Zhirkov,13885,1983-08-20,180,Midfielder,Russia,101857,left,Y. Zhirkov,14358
Norway,73,Iver,,Fossum,2455,1996-07-15,180,Midfielder,Norway,208089,right,I. Fossum,7342
Brazil,72,Bruno,,da Silva Peres,5638,1990-03-01,178,Defender,Brazil,44251,right,Bruno Peres,null
Germany,74,Salih,,\u00d6zcan,2463,1998-01-11,180,Midfielder,Turkey,356903,right,S. \u00d6zcan,null
Italy,70,Mattia,,Vitale,3204,1997-10-01,177,Midfielder,Italy,339192,left,M. Vitale,null
Serbia,85,Du\u0161ko,,To\u0161i\u0107,9126,1985-01-19,185,Defender,Serbia,127530,left,D. To\u0161i\u0107,17322
Bosnia-Herzegovina,70,Dzenis,,Burnic,2445,1998-05-22,181,Midfielder,Germany,356908,left,D. Burnic,3156
Ukraine,74,Pylyp,,Budkivskyi,13910,1992-03-10,194,Forward,Ukraine,138457,right,P. Budkivskyi,null
Serbia,80,Luka,,Milivojevi\u0107,1628,1991-04-07,186,Midfielder,Serbia,127537,right,L. Milivojevi\u0107,17322
France,74,Jessy,,Deminguet,3783,1998-01-07,178,Midfielder,France,437636,left,J. Deminguet,4426
Portugal,79,Miguel \u00c2ngelo,,da Silva Rocha,3804,1994-11-10,186,Midfielder,Portugal,273819,right,Xeka,null
Burkina Faso,73,Bertrand Isidore,,Traor\u00e9,3766,1995-09-06,181,Forward,Burkina Faso,142755,left,B. Traor\u00e9,null
Brazil,83,Vitor Hugo,,Franchescoli de Souza,3176,1991-05-20,187,Defender,Brazil,44510,right,Vitor Hugo,null
Senegal,69,Lemouya,,Goudiaby,3777,1997-01-09,178,Midfielder,France,470517,right,L. Goudiaby,null
Germany,73,Marcel,,Benger,2454,1998-07-02,188,Midfielder,Germany,372316,right,M. Benger,null
C\u00f4te d'Ivoire,0,Siriki,,Sanogo,3219,2001-12-21,0,Forward,C\u00f4te d'Ivoire,564512,null,S. Sanogo,null
Spain,68,Alberto,,L\u00f3pez Jim\u00e9nez,683,1995-05-27,173,Defender,Spain,470756,,Alberto L\u00f3pez,null
Iceland,77,Gylfi \u00de\u00f3r,,Sigur\u00f0sson,1623,1989-09-08,186,Midfielder,Iceland,77558,right,G. Sigur\u00f0sson,7839
Austria,75,Valentino,,Lazaro,2457,1996-03-24,178,Midfielder,Austria,208652,right,V. Lazaro,9109
Italy,82,Rodrigo,,Ely,696,1993-11-03,192,Defender,Brazil,208694,right,Rodrigo Ely,null
Italy,65,Matteo,,Politano,3315,1993-08-03,171,Forward,Italy,208696,left,M. Politano,3757
Austria,73,Alessandro,,Sch\u00f6pf,2449,1994-02-07,178,Midfielder,Austria,208716,right,A. Sch\u00f6pf,null
Spain,73,Alejandro,,Berenguer Remiro,3185,1995-07-04,175,Forward,Spain,339791,right,\u00c1lex Berenguer,null
Chad,81,Rodrigue Casimir,,Ninga,3787,1993-05-17,186,Forward,Chad,143189,right,C. Ninga,19241
Spain,68,Pape Cheik,,Diop Gueye,3766,1997-08-08,180,Midfielder,Senegal,339812,right,Pape Diop,null
France,64,Killian,,Sanson,3787,1997-06-07,173,Midfielder,France,372627,right,K. Sanson,null
France,73,Baptiste,,Santamaria,3799,1995-03-09,183,Midfielder,France,274344,right,B. Santamaria,34101
Niger,77,Seybou,,Koita,3789,1994-04-15,180,Forward,Niger,274345,right,S. Koita,null
Sweden,84,Patrik,,Carlgren,4498,1992-01-08,188,Goalkeeper,Sweden,51188,right,P. Carlgren,null
England,76,Nick,,Pope,1646,1992-04-19,192,Goalkeeper,England,12242,right,N. Pope,2413
Angola,75,Bartolomeu Jacinto,,Quissanga,3162,1991-03-27,184,Defender,Angola,208865,right,Bastos,null
Iran,78,Saeid,,Ezatolahi Afagh,13897,1996-10-01,190,Midfielder,Iran,241647,right,S. Ezatolahi,10840
French Guiana,85,Yoann,,Salmier,3779,1992-11-21,188,Defender,France,339964,right,Y. Salmier,null
Turkey,75,Enes,,\u00dcnal,682,1997-05-10,185,Forward,Turkey,274435,right,E. \u00dcnal,4687
Italy,78,Guido,,Guerrieri,3162,1996-02-25,184,Goalkeeper,Italy,241675,right,G. Guerrieri,null
Italy,77,Roberto,,Gagliardini,3161,1994-04-07,188,Midfielder,Italy,241676,right,R. Gagliardini,null
Spain,76,Carlos,,Soler Barrag\u00e1n,674,1997-01-02,180,Midfielder,Spain,372752,right,Carlos Soler,1604
Spain,0,Francisco Javier,,Guerrero Mart\u00edn,684,1996-03-11,185,Forward,Spain,372753,right,Francis Guerrero,null
Brazil,66,Gerson,,Santos da Silva,3158,1997-05-20,175,Midfielder,Brazil,340019,left,Gerson,null
Italy,87,Adam,,Masina,3166,1994-01-02,191,Defender,Morocco,232822,left,A. Masina,null
Italy,75,Alessandro,,Bastoni,3172,1999-04-13,190,Defender,Italy,405597,left,A. Bastoni,3761
Italy,70,Mirko,,Antonucci,3158,1999-03-11,181,Forward,Italy,405602,right,M. Antonucci,null
Portugal,70,K\u00e9vin Manuel,,Rodrigues,687,1994-03-05,170,Defender,France,209012,left,K\u00e9vin Rodrigues,null
Algeria,65,Farid,,Boulaya,3777,1993-02-25,180,Midfielder,France,209014,right,F. Boulaya,null
Croatia,72,Adrien,,Thomasson,3770,1993-12-10,177,Midfielder,France,209028,right,A. Thomasson,null
Serbia,82,Vasilije,,Janji\u010di\u0107,2450,1998-11-02,180,Midfielder,Switzerland,444439,right,V. Janji\u010di\u0107,6705
France,74,Anthony,,Maisonnial,3782,1998-03-23,188,Goalkeeper,France,340108,right,A. Maisonnial,4426
C\u00f4te d'Ivoire,72,Kouadio Yves,,Dabila,3776,1997-01-01,183,Defender,C\u00f4te d'Ivoire,372904,right,K. Dabila,null
Morocco,67,Amine,,Harit,2449,1997-06-18,179,Midfielder,France,372915,right,A. Harit,16216
France,73,Morgan,,Sanson,3771,1994-08-18,180,Midfielder,France,209086,right,M. Sanson,null
Togo,78,Corentin,,Tolisso,2444,1994-08-03,181,Midfielder,France,209091,right,C. Tolisso,4418
Senegal,70,Abdallah,,N'Dour,3779,1993-12-20,186,Defender,Senegal,209095,left,A. N'Dour,null
France,71,Adrien,,Rabiot,3767,1995-04-03,188,Midfielder,France,209117,left,A. Rabiot,null
Denmark,64,Pione,,Sisto Ifolo Emirmija,692,1995-02-04,171,Midfielder,South Sudan,241945,right,P. Sisto,7712
Germany,87,Julian,,Pollersbeck,2450,1994-08-16,195,Goalkeeper,Germany,241957,right,J. Pollersbeck,null
Ghana,76,Gideon,,Jung,2450,1994-09-12,189,Defender,Germany,241966,right,G. Jung,null
United States,84,Weston ,,McKennie,2449,1998-08-28,185,Midfielder,United States,471348,right,W. McKennie,8134
Gabon,64,Johann,,Obiang,3795,1993-07-05,170,Defender,France,209207,left,J. Obiang,null
France,70,Flavien,,Tait,3799,1993-02-02,175,Midfielder,France,209209,right,F. Tait,null
Congo DR,71,Micha\u00ebl Jordan,,Nkololo,3783,1992-11-09,183,Midfielder,France,209211,right,J. Nkololo,18538
Brazil,67,Gabriel Fernando,,de Jesus,1625,1997-04-03,175,Forward,Brazil,340386,right,Gabriel Jesus,6380
Tunisia,82,Fakhreddine,,Ben Youssef,16468,1991-06-23,192,Forward,Tunisia,209354,right,F. Ben Youssef,16276
Spain,68,Alejandro,,Robles Garc\u00eda,683,1999-01-28,170,Defender,Spain,405972,right,Alex Robles,1602
Italy,72,Domenico,,Berardi,3315,1994-08-01,183,Forward,Italy,209400,left,D. Berardi,3757
Jamaica,78,Reece,,Oxford,2454,1998-12-16,191,Defender,England,340476,right,R. Oxford,2421
Brazil,73,Everton Luiz,,Guimaraes Bilher,3204,1988-05-24,173,Midfielder,Brazil,45579,right,Everton Luiz,null
Senegal,94,Alexandre,,Mendy,3772,1994-03-20,185,Forward,France,274970,right,A. Mendy,null
England,76,Jamie,,Vardy,1631,1987-01-11,178,Forward,England,12829,right,J. Vardy,2413
France,70,Moussa,,Sylla,19830,1999-11-25,181,Forward,France,471589,right,M. Sylla,null
France,79,Enzo,,Crivelli,3783,1995-02-06,184,Forward,France,275032,right,E. Crivelli,null
Germany,69,Robin,,Hack,2482,1998-08-27,176,Midfielder,Germany,373350,right,R. Hack,3156
Luxembourg,60,Vincent,,Thill,3777,2000-02-04,168,Midfielder,Luxembourg,406156,left,V. Thill,14768
France,76,Benjamin,,Pavard,2445,1996-03-28,186,Defender,France,340646,right,B. Pavard,4418
Nigeria,77,Jordan,,Torunarigha,2457,1997-08-07,189,Defender,Germany,275121,left,J. Torunarigha,3155
Japan,72,Hotaru,,Yamaguchi,12811,1990-06-10,173,Midfielder,Japan,95010,right,H. Yamaguchi,12913
Italy,85,Alessandro,,Confente,3165,1998-06-07,194,Goalkeeper,Italy,417230,right,A. Confente,null
Morocco,67,Imad,,Faraj,3776,1999-02-11,172,Midfielder,France,471771,right,I. Faraj,33157
France,65,L\u00e9o,,Dubois,3766,1994-09-14,178,Defender,France,242446,right,L. Dubois,null
Tunisia,68,Sa\u00eef-Eddine,,Khaoui,3771,1995-04-27,182,Midfielder,France,275243,left,S. Khaoui,16276
Spain,73,Samuel,,Garc\u00eda S\u00e1nchez,683,1990-07-13,179,Midfielder,Spain,275293,right,Samu Garc\u00eda,null
Nigeria,77,Brian Oladapo,,Idowu,13887,1992-05-18,178,Defender,Russia,209792,right,B. Idowu,16823
Switzerland,75,Vincent,,Sierro,2453,1995-10-08,185,Midfielder,Switzerland,373636,right,V. Sierro,null
Spain,78,Jorge,,Mer\u00e9 P\u00e9rez,2463,1997-04-17,182,Defender,Spain,275384,right,Jorge Mer\u00e9,1604
Italy,73,Riccardo,,Orsolini,3166,1997-01-24,183,Forward,Italy,373768,left,R. Orsolini,3763
Spain,75,Gerard,,Valent\u00edn Sancho,677,1993-07-28,177,Defender,Spain,275497,right,Gerard Valent\u00edn,null
France,71,Eden,,Massouema,3804,1997-06-29,184,Midfielder,France,373817,right,E. Massouema,null
Portugal,90,Eric ,,Dier,1624,1994-01-15,188,Midfielder,England,210044,right,E. Dier,2413
Nigeria,78,Ademola,,Lookman,2975,1998-07-18,174,Midfielder,England,406682,right,A. Lookman,null
Iran,79,Sardar,,Azmoun,13895,1995-01-01,186,Forward,Iran,79006,right,S. Azmoun,10840
Nigeria,80,Bamidele,,Alli,1624,1996-04-11,188,Midfielder,England,13484,right,D. Alli,2413
Italy,74,Amadou,,Diawara,3187,1997-07-17,184,Midfielder,Guinea,374013,right,A. Diawara,null
Iran,75,Karim,,Ansarifard,12509,1990-04-03,186,Forward,Iran,79149,right,K. Ansarifard,10840
France,75,Quentin,,Boisgard,3780,1997-03-17,174,Midfielder,France,374118,right,Q. Boisgard,null
Algeria,78,Nabil,,Bentaleb,2449,1994-11-24,187,Midfielder,France,144766,left,N. Bentaleb,null
Iran,74,Ehsan,,Hajsafi,12509,1990-02-25,176,Defender,Iran,79248,left,E. Hajsafi,10840
Morocco,75,K\u00e9vin,,Malcuit,3776,1991-07-31,178,Defender,France,144867,right,K. Malcuit,null
France,88,Christopher,,Jullien,3780,1993-03-22,196,Defender,France,144884,right,C. Jullien,null
Iran,78,Alireza,,Jahanbakhsh,1651,1993-08-11,180,Forward,Iran,79381,right,A. Jahanbakhsh,10840
Martinique,73,Ludovic,,Blas,3785,1997-12-31,180,Midfielder,France,340920,left,L. Blas,null
Mexico,65,Marco Jhonfai,,Fabi\u00e1n De La Mora,2462,1989-07-21,170,Midfielder,Mexico,112253,right,M. Fabi\u00e1n,15473
Poland,81,Caleb,,Stanko,2453,1993-07-26,180,Midfielder,United States,145030,right,C. Stanko,null
Spain,68,Miguel Arturo,,Lay\u00fan Prado,682,1988-06-25,179,Defender,Mexico,112366,right,M. Lay\u00fan,15473
Guadeloupe,67,Allan,,Saint-Maximin,3775,1997-03-12,173,Forward,France,276211,right,A. Saint-Maximin,null
Spain,79,Marc,,Navarro Ceciliano,691,1995-07-02,188,Defender,Spain,341751,right,Marc Navarro,null
Spain,74,Marc,,Roca Junqu\u00e9,691,1996-11-26,184,Midfielder,Spain,341752,left,Marc Roca,null
Venezuela,85,Oswaldo Augusto,,Vizcarrondo Ara\u00fajo,3795,1984-05-31,191,Defender,Venezuela,112377,right,O. Vizcarrondo,null
Mexico,81,Ra\u00fal Alonso,,Jim\u00e9nez Rodr\u00edguez,1629,1991-05-05,187,Forward,Mexico,112392,right,R. Jim\u00e9nez,15473
Mexico,74,H\u00e9ctor Miguel,,Herrera L\u00f3pez,9606,1990-04-19,180,Midfielder,Mexico,112459,right,H. Herrera,15473
Italy,78,Luca,,Crosta,3173,1998-02-23,190,Goalkeeper,Italy,472938,right,L. Crosta,null
Portugal,69,Bruno Miguel,,Borges Fernandes,9608,1994-09-08,179,Midfielder,Portugal,243588,right,Bruno Fernandes,9905
Mexico,62,Jes\u00fas Manuel,,Corona Ru\u00edz,9606,1993-01-06,173,Forward,Mexico,112522,right,J. Corona,15473
Mexico,59,Javier Ignacio,,Aquino Carmona,15417,1990-02-11,168,Midfielder,Mexico,112556,right,J. Aquino,15473
Congo DR,78,Nordi,,Mukiele Mulere,3787,1997-11-01,186,Defender,France,341973,right,N. Mukiele,null
Russia,79,Aleksandr,,Erokhin,13885,1989-10-13,195,Midfielder,Russia,101953,right,A. Erokhin,14358
Switzerland,74,Nicolas,,Haas,3172,1996-01-23,178,Midfielder,Switzerland,342075,right,N. Haas,6704
Turkey,75,O\u011fuzhan,,\u00d6zyakup,4489,1992-09-23,180,Midfielder,Netherlands,7869,right,O. \u00d6zyakup,4687
Congo,71,Bel Durel,,Avounou,3783,1997-09-25,179,Midfielder,Congo,407699,left,D. Avounou,null
C\u00f4te d'Ivoire,77,Ibrahim,,Sangar\u00e9,3780,1997-12-02,191,Midfielder,C\u00f4te d'Ivoire,375001,right,I. Sangar\u00e9,null
France,75,Quentin,,Cornette,3789,1994-01-17,172,Forward,France,243931,right,Q. Cornette,null
Spain,85,Mohamet Airam,,Ramos Wade,675,2000-04-13,189,Goalkeeper,Spain,473326,right,Moha Ramos,null
Serbia,91,Branislav,,Ivanovi\u0107,13885,1984-02-22,185,Defender,Serbia,7891,right,B. Ivanovi\u0107,17322
Egypt,70,Amr Medhat,,Warda,12510,1993-09-17,176,Midfielder,Egypt,388928,right,Amr Warda,16129
Greece,85,Sokratis,,Papastathopoulos,2447,1988-06-09,186,Defender,Greece,14687,right,S. Papastathopoulos,12678
Germany,91,Ronaldo ,,Aparecido Rodrigues,2449,1982-09-10,198,Defender,Brazil,14689,right,Naldo,null
Germany,71,Philipp,,Bargfrede,2443,1989-03-03,174,Midfielder,Germany,14692,right,P. Bargfrede,null
Serbia,71,Aleksandar,,Ignjovski,2453,1991-01-27,175,Defender,Serbia,14695,right,A. Ignjovski,null
Austria,69,Zlatko,,Junuzovi\u0107,2443,1987-09-26,172,Midfielder,Serbia,14696,right,Z. Junuzovi\u0107,null
Germany,83,Niclas,,F\u00fcllkrug,2455,1993-02-09,189,Forward,Germany,14705,right,N. F\u00fcllkrug,null
England,73,Aaron,,Hunt,2450,1986-09-04,183,Midfielder,Germany,14706,left,A. Hunt,null
Italy,84,Claudio Miguel,,Pizarro Bossio,2463,1978-10-03,184,Forward,Peru,14707,right,C. Pizarro,null
Germany,92,Manuel,,Neuer,2444,1986-03-27,193,Goalkeeper,Germany,14712,right,M. Neuer,3148
Germany,83,Holger,,Badstuber,2445,1989-03-13,189,Defender,Germany,14715,left,H. Badstuber,null
Germany,90,J\u00e9r\u00f4me,,Boateng,2444,1988-09-03,192,Defender,Germany,14716,right,J. Boateng,3148
Italy,75,Diego,,Contento,3772,1990-05-01,177,Defender,Germany,14717,left,D. Contento,null
Brazil,68,M\u00e1rcio Rafael,,Ferreira de Souza,2444,1985-09-07,172,Defender,Brazil,14718,right,Rafinha,null
Brazil,78,Luiz Gustavo,,Dias,3771,1987-07-23,187,Midfielder,Brazil,14722,left,Luiz Gustavo,null
Germany,76,Toni,,Kroos,675,1990-01-04,183,Midfielder,Germany,14723,right,T. Kroos,3148
Austria,76,David,,Olatukunbo Alaba,2444,1992-06-24,180,Defender,Austria,14724,left,D. Alaba,null
France,72,Franck Bilal,,Rib\u00e9ry,2444,1983-04-07,170,Midfielder,France,14726,right,F. Rib\u00e9ry,null
Netherlands,80,Arjen,,Robben,2444,1984-01-23,180,Midfielder,Netherlands,14727,left,A. Robben,null
Japan,77,Takashi,,Usami,2502,1992-05-06,180,Forward,Japan,14730,right,T. Usami,12913
Spain,88,Mario,,G\u00f3mez Garc\u00eda,2445,1985-07-10,189,Forward,Germany,14731,right,M. G\u00f3mez,3148
Germany,75,Thomas,,M\u00fcller,2444,1989-09-13,186,Forward,Germany,14732,right,T. M\u00fcller,3148
Germany,85,Nils,,Petersen,2453,1988-12-06,188,Forward,Germany,14734,right,N. Petersen,null
Germany,84,Sven,,Ulreich,2444,1988-08-03,192,Goalkeeper,Germany,14736,right,S. Ulreich,null
Italy,82,Cristian,,Molinaro,3185,1983-07-30,182,Defender,Italy,14745,left,C. Molinaro,null
Sierra Leone,85,Antonio,,R\u00fcdiger,1610,1993-03-03,191,Defender,Germany,14748,right,A. R\u00fcdiger,3148
Japan,74,Gotoku,,Sakai,2450,1991-03-14,176,Defender,United States,14749,right,G. Sakai,12913
Germany,81,Christian,,Gentner,2445,1985-08-14,189,Midfielder,Germany,14754,right,C. Gentner,null
Serbia,81,Zdravko,,Kuzmanovi\u0107,683,1987-09-22,185,Midfielder,Switzerland,14757,right,Z. Kuzmanovi\u0107,null
Guinea,61,Ibrahima,,Traor\u00e9,2454,1988-04-21,171,Midfielder,France,14758,left,I. Traor\u00e9,null
Austria,80,Martin,,Harnik,2455,1987-06-10,185,Forward,Germany,14760,right,M. Harnik,null
United States,82,Vedad,,Ibi\u0161evi\u0107,2457,1984-08-06,188,Forward,Bosnia-Herzegovina,14762,right,V. Ibi\u0161evi\u0107,10001
Japan,70,Shinji,,Okazaki,1631,1986-04-16,174,Forward,Japan,14763,right,S. Okazaki,12913
Germany,83,Julian,,Schieber,2457,1989-02-13,186,Forward,Germany,14764,left,J. Schieber,null
Germany,87,Ren\u00e9,,Adler,2460,1985-01-15,191,Goalkeeper,Germany,14766,right,R. Adler,null
Germany,93,Fabian,,Giefer,2481,1990-05-17,196,Goalkeeper,Germany,14767,right,F. Giefer,null
Germany,83,Bernd,,Leno,2446,1992-03-04,190,Goalkeeper,Germany,14768,right,B. Leno,null
Spain,74,Gonzalo,,Castro Randon,2447,1987-06-11,172,Midfielder,Germany,14770,right,G. Castro,null
Croatia,84,Vedran,,\u0106orluka,13887,1986-02-05,192,Defender,Bosnia-Herzegovina,14771,right,V. \u0106orluka,9598
Angola,85,Danny ,,Vieira da Costa,2462,1993-07-13,187,Defender,Germany,14772,right,D. da Costa,null
Germany,85,Bastian,,Oczipka,2449,1989-01-12,185,Defender,Germany,14775,left,B. Oczipka,null
Italy,71,Valent\u00edn,,Vada,3772,1996-03-06,175,Midfielder,Argentina,276920,right,V. Vada,null
Turkey,83,\u00d6mer,,Toprak,2447,1989-07-21,186,Defender,Germany,14778,right,\u00d6. Toprak,null
Germany,81,Lars,,Bender,2446,1989-04-27,185,Midfielder,Germany,14781,right,L. Bender,null
Brazil,86,Renato ,,Soares de Oliveira Augusto,9130,1988-02-08,186,Midfielder,Brazil,14785,right,Renato Augusto,6380
Morocco,80,Karim,,Bellarabi,2446,1990-04-08,183,Midfielder,Germany,14786,right,K. Bellarabi,null
Turkey,90,Eren,,Derdiyok,4492,1988-06-12,191,Forward,Switzerland,14787,right,E. Derdiyok,null
Germany,81,Stefan,,Kie\u00dfling,,1984-01-25,191,Forward,Germany,14788,right,S. Kie\u00dfling,null
Germany,73,Andr\u00e9,,Sch\u00fcrrle,2447,1990-11-06,184,Forward,Germany,14789,right,A. Sch\u00fcrrle,null
